id,title,cluster,bins
1benfn8,classic classroom toy inspires scientists to build electricity generator | the generator device generated an output of over 100 volts and worked for several days using only 100 ml water as fuel.,1,200
1bev96s,wearable sticker reads even the smallest finger motions. the sensor can aid stroke patients and people with disabilities.,4,200
1bfeigl,world’s largest ai chip with 4 trillion transistors to power supercomputers | the chip also needs 97percent lesser code to train a llm when compared to a gpu.,1,200
1bfetog,woman given a new 3d-printed windpipe in a world-first,2,200
1bg558q,aussie invention predicts power line faults that can cause bushfires,4,200
1bgxloq,a cargo ship’s ‘windwing’ sails saved it up to 12 tons of fuel per day,0,200
1bh51cf,"korean researchers power-shame nvidia with new neural ai chip — claim 625 times less power draw, 41 times smaller",1,200
1bhnzvi,"laser-driven pacemaker guides ailing hearts with light | pv semiconductor tech could find applications in neurostimulation, too",2,200
1bhrrve,a sprayable gel could make minimally invasive surgeries simpler and safer,1,200
1bihhr0,"incorporating a phase-change material into concrete, researchers have created a self-heating material that can melt snow and ice for up to 10 hours without using salt or shovels.",1,200
1bihi90,world's fastest wireless ev charger unlocks 100 kw parking spots,3,200
1biig0z,nvidia has virtually recreated the entire planet — and now it wants to use its digital twin to crack weather forecasting for good,3,200
1bjd042,winged cargo ship saves three tons of fuel per day on first voyage,4,200
1bjwu9s,medics design ai tool to predict side-effects in breast cancer patients,1,200
1bjxu2j,elon musk unveils clip of his first human patient implanted with neuralink brain-chip using 'telepathy' to play chess on computer,1,200
1bk4nut,an ai robot is spotting sick tulips to slow the spread of disease through dutch bulb fields,1,200
1bk8kls,"texas firm tops tesla with innovative solar rooftop solution | using lfp batteries, yotta energy has eliminated the need to install a separate battery pack and the extra wiring that it needs.",1,200
1bkyd2t,this stretchy electronic material hardens upon impact just like “oobleck”,4,200
1blhyax,exosuit muscle control steps closer to reality. brain-guided muscle stimulation finds relief with electronic clutch system.,4,200
1blr3s7,the next generation of drugs could be made in space. here’s why,3,200
1bmkkmw,pacemaker powered by light eliminates need for batteries and allows the heart to function more naturally. scientists have designed a solar panel-like pacemaker that can precisely control heartbeats.,4,200
1bmkn8d,molecular weaving makes polymer composites stronger without compromising function,4,200
1bmkx43,mind-blowing science: ‘star wars-style’ holograms to communicate with the brain,4,200
1bne975,doctors take another step toward animal-to-human organ transplants with the first pig kidney transplant. the experimental procedure was done on a man experiencing end-stage kidney failure last week who had been on the transplant waiting list for two years.,0,200
1bnub66,"scientists reveal new flow battery tech based on common chemical | at the center of the design is a lab-scale, iron-based flow battery with unparalleled cycling stability.",1,200
1bnxqlk,"speaking without vocal cords, thanks to a new ai-assisted wearable device",1,200
1bo4wxn,"this drug-delivering contact lens will heal corneal wounds faster | “the more injured you are, the more drug gets delivered, which is unique and potentially a game changer.”",0,200
1bp1tgn,swiss hydrogen-powered train sets 1741-mile record for nonstop travel | the record attempt took place over 46 hours at a test track in colorado where stadler’s hydrogen-powered train is being tested.,2,200
1bp21ej,"silicon spikes take out 96% of virus particles. an international research team led by rmit university has designed and manufactured a virus-killing surface that could help control disease spread in hospitals, labs and other high-risk environments.",4,200
1bplkua,"ai chatbots are beating moore's law to improve at an even faster rate than computer chips | after eight months, a model only needs half the computing power to hit the same benchmark score",1,200
1bpvigl,cern to supercharge world’s most powerful atom smasher to hunt new physics | team to construct vital detector parts and analysis tools for high-luminosity-lhc upgrade.,4,200
1bq81ml,"scientists devise healthy mouse pups from two dads, without female dna | the application is expected to take a long time in humans, maybe 10 years or more and it is unknown whether the eggs are safe enough to produce (a) baby with two male dna.",4,200
1bqb545,blazing bits transmitted 4.5 million times faster than broadband,0,200
1bqozic,engineers find a new way to convert carbon dioxide into useful products,1,200
1brj2z8,will liquid circuits enable brain-imitating computers? new microchips shuffle around ions like synapses in the human brain.,1,200
1bs8o8x,"new tech promises instant paper-based glucose monitoring for under 15 cents | the device, affordable, and eco-friendly, uses a paper-based technology that can be connected to a smartphone app for instant glucose detection.",1,200
1bt0hcg,"seeing with sound: new tech lets blind people ‘hear’ solar eclipse | millions are gearing up to witness the rare and unique total solar eclipse on monday, april 8.",1,200
1bt6ae5,brain-cell transplants are the newest experimental epilepsy treatment,0,200
1btvv12,"using a cellphone’s built-in compass to measure glucose, toxins and more | the compass in your cellphone could also be used to accurately measure the concentration of glucose and environmental toxins.",2,200
1btvz8c,blink to generate power for smart contact lenses | a dual-mode power pack harvests energy from light and from tears,1,200
1btz8g0,"this handheld device allows blind people to experience the solar eclipse with their ears. the technology, which translates the intensity of sunlight into a range of sounds, was designed to make eclipses more accessible to visually impaired people.",1,200
1btzf1n,"scientists break brain disability barrier with thought-controlled interface | the system aids in enhancing neural plasticity, empowering the brain to adapt, grow, and reorganize, fostering continual development over time.",1,200
1buguuc,thousands with type 1 diabetes in england to receive 'artificial pancreas',0,200
1bv1t3w,"innovative sand battery can heat entire town for a week | water batteries, and now sand batteries",1,200
1bv25ra,a new computational technique could make it easier to engineer useful proteins,1,200
1bvc6f0,"opera is testing letting you download llms for local use, a first for a major browser",1,200
1bvc9tb,waymo self-driving cars are delivering uber eats orders for first time,4,200
1bve6yf,"‘the machine did it coldly’: israel used ai to identify 37,000 hamas targets",3,200
1bvmjt8,this virtual second skin is allowing ‘touch’ for isolated sick children | the smart textile made of silicon is as thin as a film and shows how powerful “sensitive” can get.,4,200
1bvnpjp,"gene-engineered bacteria grows plastic-free, self-dyeing vegan leather | for the first time, scientists genetically engineered bacteria to produce vegan leather, which also has self-dyeing properties.",3,200
1bvo7uk,the best robot to search for life could look like a snake,1,200
1bwekcu,"new window film drops temperature by 45 °f, slashes energy consumption | assisted by quantum physics and machine learning, researchers have developed a transparent window coating that lets in visible light but blocks heat-producing uv and infrared.",1,200
1bwkn5c,world's largest digital astronomy camera ready to solve cosmic mysteries,3,200
1bwvfpb,crafty quadcopter can operate indefinitely by recharging on power lines,4,200
1bx99h7,"researchers develop paper battery that generates power from water, air | researchers at tohoku university have developed a paper-based magnesium-air battery that is eco-friendly and powerful.",1,200
1by1lgr,game theory research shows ai can evolve into more selfish or cooperative personalities,4,200
1byurwp,these electronic textiles don’t need chips or batteries | soft fibers light up and send wireless signals at the touch of a finger,4,200
1bz05uw,"‘time is running out’: can a future of undetectable deepfakes be avoided? | tell-tale signs of generative ai images are disappearing as the technology improves, and experts are scrambling for new methods to counter disinformation",1,200
1bz8ex5,"using tissue engineering techniques & a 3d printer, researchers have assembled a replica of an adult human ear that looks & feels natural. this offers the promise of grafts with well-defined anatomy & the correct biomechanical properties for those who are born with a congenital malformation.",4,200
1bzr3sc,"dual layer, 3d magnetic recording to boost seagate’s hdd storage to 120tb+ | the approach could potentially increase data storage capacity ten times to 10 tbit per square inch providing relief to data centers.",0,200
1c021qk,better biosensors just need a touch of cheap plastic. diluting organic semiconductors with polystyrene improves performance.,4,200
1c02g0p,mit engineers craft spring device to enhance robotic muscles | this new flexure functions as a skeleton-like module to boost muscle performance in robots.,1,200
1c0ih0f,"tiny tech consumes 10,000x less power to measure qubits in single shot | the device with a microscopic footprint consumes 10,000 times less power to measure qubits and gives noise-free readouts in a single shot.",1,200
1c0m7nx,the us air force is testing a self-flying f-16 fighter jet — and is sending its boss up as a passenger,4,200
1c0oc72,"scientists use laser light to achieve quantum states at room temperature, a first | the team used a “corkscrew” shaped polarized laser light source.",1,200
1c1brte,northrop grumman introduces its first completed prototype manta ray uncrewed underwater vehicle that it is developing for darpa | the extra-large submarine glider is designed to carry out long-range undersea missions without human assistance.,2,200
1c1btc7,robot uprising? openai and meta to release ais capable of reasoning,4,200
1c287d8,muscle tissue harvested from mice cells move ‘biohybrid’ robots,1,200
1c31igd,pogo stick microcopter bounces off floors and walls,0,200
1c33uyt,how new tech is making geothermal energy a more versatile power source. geothermal has moved beyond being confined to areas with volcanic activity.,1,200
1c3wnye,ai-powered ‘sonar’ on smartglasses tracks gaze and facial expressions,0,200
1c4j1wu,"pea-sized, battery-free brain implant could cure neurological disorders | researchers have created a unique brain stimulator called digitally programmable over-brain therapeutic (dot).",1,200
1c4laty,world’s 1st 60 ghz mmwave to pave way for ultrafast 6g communication | the antenna is built with metamaterials- materials engineered to possess special abilities that they do not have in their natural form.,3,200
1c4nbh0,the tiny ultrabright laser that can melt steel. photonic crystals are the key to the brightest semiconductor laser ever.,0,200
1c4vmht,world first energy storage unit demonstrates zero degradation over 5 years,1,200
1c5w9ax,metal waste catalyst forges way to hydrogen production from water | a new method aims to deliver ‘the most promising green pathways for hydrogen production’ via electrolysis of water.,1,200
1c66ppt,"‘world’s 1st’ paintball firing security cam offers teargas pellet upgrade | it’s the world’s first smart paintball security system and the device will create a new standard in active protection at home, the company claims.",1,200
1c68uga,this hopping robot with flailing legs could explore asteroids in the future,1,200
1c6bicv,"boston dynamics’ atlas humanoid robot goes electric | a day after retiring the hydraulic model, boston dynamics' ceo discusses the company’s commercial humanoid ambitions",4,200
1c6mhaz,"“nanostitches” enable lighter and tougher composite materials. in research that may lead to next-generation airplanes and spacecraft, mit engineers used carbon nanotubes to prevent cracking in multilayered composites.",0,200
